,start_tracking_at_element,q0,mass0,p0c,gamma0,beta0,s,x,y,px,py,zeta,chi,charge_ratio,weight,particle_id,at_element,at_turn,state,parent_particle_id,_rng_s1,_rng_s2,_rng_s3,_rng_s4,delta,ptau,rvv,rpp
62,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00022476918117504525,0.0004946286533997553,-8.61041782036329e-06,5.936280663259151e-06,5.766565595729089e-06,1.0,1.0,0.0,62,0,0,1,62,0,0,0,0,0.00027000053128012347,0.00027000052885525804,1.000000000004849,0.999730072349329
63,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00012966784490691668,0.0006035565964543875,-6.822050445674446e-06,7.246018731091044e-06,4.227488392719311e-06,1.0,1.0,0.0,63,0,0,1,63,0,0,0,0,0.0002700004943247958,0.00027000049189997155,1.000000000004849,0.9997300723862643
64,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,1.6903565720557043e-05,0.0006755735130687181,-4.701735251143845e-06,8.111764856717276e-06,2.4009474429919913e-06,1.0,1.0,0.0,64,0,0,1,64,0,0,0,0,0.00027000043339553415,0.0002700004309707056,1.000000000004849,0.9997300724471607
65,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003438520344006697,0.0001995292846384292,-1.0850313527093755e-05,2.387543626280323e-06,7.689264470169852e-06,1.0,1.0,0.0,65,0,0,1,65,0,0,0,0,0.0002700005300328989,0.00027000052760799614,1.000000000004849,0.9997300723505755
66,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003013218711641079,0.00036008510051865363,-1.005014561836326e-05,4.318397513205507e-06,7.004135731177425e-06,1.0,1.0,0.0,66,0,0,1,66,0,0,0,0,0.0002700005469955524,0.00027000054457087614,1.000000000004849,0.999730072333622
67,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00022943082679157824,0.0005003220700509259,-8.698040538451772e-06,6.004772005801116e-06,5.842319317978223e-06,1.0,1.0,0.0,67,0,0,1,67,0,0,0,0,0.000270000536395143,0.0002700005339703415,1.000000000004849,0.9997300723442167
68,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00013307815715150057,0.0006106832755141714,-6.886142014095967e-06,7.331743469262373e-06,4.282991099139366e-06,1.0,1.0,0.0,68,0,0,1,68,0,0,0,0,0.0002700004989535376,0.00027000049652880126,1.000000000004849,0.9997300723816381
69,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,1.8830137449530908e-05,0.0006836477831365854,-4.7379279354268066e-06,8.208880991278427e-06,2.432416715863003e-06,1.0,1.0,0.0,69,0,0,1,69,0,0,0,0,0.00027000043722269496,0.00027000043479783446,1.000000000004849,0.9997300724433357
70,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003499996697264116,0.00020131630147904775,-1.0965887842437327e-05,2.409057976880459e-06,7.789004493096798e-06,1.0,1.0,0.0,70,0,0,1,70,0,0,0,0,0.00027000053506531785,0.0002700005326404518,1.000000000004849,0.9997300723455458
71,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003069171667075567,0.0003639572578252491,-1.0155328142684354e-05,4.364987888311164e-06,7.094977978273298e-06,1.0,1.0,0.0,71,0,0,1,71,0,0,0,0,0.00027000055224846164,0.00027000054982362896,1.000000000004849,0.999730072328372
72,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00023409247240811112,0.0005060154867020963,-8.785663256540252e-06,6.073263348343079e-06,5.918073040227353e-06,1.0,1.0,0.0,72,0,0,1,72,0,0,0,0,0.0002700005415101625,0.00027000053908542507,1.000000000004849,0.9997300723391045
73,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0001364884693960844,0.0006178099545739556,-6.95023358251749e-06,7.4174682074337055e-06,4.3384938055594216e-06,1.0,1.0,0.0,73,0,0,1,73,0,0,0,0,0.0002700005035825015,0.0002700005011576311,1.000000000004849,0.9997300723770116
74,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,2.0756709178504772e-05,0.0006917220532044528,-4.774120619709769e-06,8.305997125839577e-06,2.4638859887340153e-06,1.0,1.0,0.0,74,0,0,1,74,0,0,0,0,0.00027000044104985577,0.00027000043862496334,1.000000000004849,0.9997300724395105
75,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003561473050521534,0.00020310331831966628,-1.1081462157780896e-05,2.430572327480594e-06,7.888744516023742e-06,1.0,1.0,0.0,75,0,0,1,75,0,0,0,0,0.0002700005400977368,0.0002700005376729075,1.000000000004849,0.9997300723405161
76,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003125124622510056,0.00036782941513184455,-1.0260510667005454e-05,4.411578263416821e-06,7.185820225369173e-06,1.0,1.0,0.0,76,0,0,1,76,0,0,0,0,0.0002700005575011488,0.0002700005550763818,1.000000000004849,0.999730072323122
77,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.000238754118024644,0.0005117089033532667,-8.873285974628733e-06,6.141754690885043e-06,5.993826762476484e-06,1.0,1.0,0.0,77,0,0,1,77,0,0,0,0,0.000270000546625182,0.00027000054420050855,1.000000000004849,0.9997300723339921
78,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00013989878164066824,0.0006249366336337395,-7.014325150939013e-06,7.503192945605036e-06,4.393996511979477e-06,1.0,1.0,0.0,78,0,0,1,78,0,0,0,0,0.00027000050821124333,0.0002700005057864608,1.000000000004849,0.9997300723723854
